,item name,price,origianl price,sales,promotion,province,product link
12,Jojo อะไหล่มือจับกระเป๋าเดินทาง แบบพกพา 6 แบบ,"['22 ', ' 33']","['22 ', ' 33']",4400.0,ซื้อ 5 ชิ้น ลด 2%,ต่างประเทศ,/Jojo-อะไหล่มือจับกระเป๋าเดินทาง-แบบพกพา-6-แบบ-i.255023342.19211607864?sp_atk=80767de7-91fb-4e19-bfe1-8694799c8974&xptdk=80767de7-91fb-4e19-bfe1-8694799c8974
13,❣️ส่งล็อคกระเป๋าเดินทาง ผ้าคลุมกระเป๋าเดินทาง PVC ใสกันน้ำ คลุมกระเป๋าเดินทาง ไร้ขอบ กันน้ำ กันรอย หนาพิเศษ 7 ขนาด,"['59 ', ' 125']","['59 ', ' 125']",1400.0,ซื้อ 2 ชิ้น ลด ฿12,จังหวัดสมุทรปราการ,/❣️ส่งล็อคกระเป๋าเดินทาง-ผ้าคลุมกระเป๋าเดินทาง-PVC-ใสกันน้ำ-คลุมกระเป๋าเดินทาง-ไร้ขอบ-กันน้ำ-กันรอย-หนาพิเศษ-7-ขนาด-i.546762445.19940241854?sp_atk=537582af-4e4c-45f6-b76c-cecd3d412319&xptdk=537582af-4e4c-45f6-b76c-cecd3d412319
14,กระเป๋าจัดระเบียบเซต 6 ชิ้น กระเป๋าจัดระเบียบกระเป๋าเดินทาง,['69'],['69'],9700.0,,จังหวัดปทุมธานี,/กระเป๋าจัดระเบียบเซต-6-ชิ้น-กระเป๋าจัดระเบียบกระเป๋าเดินทาง-i.5449484.4820393469?sp_atk=04a533ac-6863-45cb-867b-8a521d18a7d1&xptdk=04a533ac-6863-45cb-867b-8a521d18a7d1
15,สายคล้องคอ สายห้อยขวด คล้องขวดสเปร์ย พอด และอื่นๆ ห่วงซิลีโคน 13 มิลลิเมตร ขยายได้ถึง 24 มิลลิเมตร,"['32 ', ' 73']","['32 ', ' 73']",3800.0,,จังหวัดสมุทรสาคร,/สายคล้องคอ-สายห้อยขวด-คล้องขวดสเปร์ย-พอด-และอื่นๆ-ห่วงซิลีโคน-13-มิลลิเมตร-ขยายได้ถึง-24-มิลลิเมตร-i.534107585.17827953797?sp_atk=04558174-36ac-4dec-abc3-6f845c769e76&xptdk=04558174-36ac-4dec-abc3-6f845c769e76
16,กระเป๋าเดินทาง กระเป๋าล้อลาก กระเป๋าเดินทาง 20 นิ้ว น้ำหนัก เบา  กระเป๋าล้อลาก 20 นิ้ว กระเป๋าล้อลาก 24 นิ้ว,"['520 ', ' 750']","['520 ', ' 750']",292.0,,จังหวัดกรุงเทพมหานคร,/กระเป๋าเดินทาง-กระเป๋าล้อลาก-กระเป๋าเดินทาง-20-นิ้ว-น้ำหนัก-เบา-กระเป๋าล้อลาก-20-นิ้ว-กระเป๋าล้อลาก-24-นิ้ว-i.869271436.19761222905?sp_atk=e0dbc3d4-6beb-465f-9d7f-f53992da2a1a&xptdk=e0dbc3d4-6beb-465f-9d7f-f53992da2a1a
17,ถูกที่สุด!ผ้าคลุมกระเป๋าเดินทาง ผ้ายืดหนาแบบซิป Luggage Cover 8 สี B047,"['147 ', ' 269']","['147 ', ' 269']",7200.0,,จังหวัดกรุงเทพมหานคร,/ถูกที่สุด!ผ้าคลุมกระเป๋าเดินทาง-ผ้ายืดหนาแบบซิป-Luggage-Cover-8-สี-B047-i.12898066.7400127585?sp_atk=be2c1eff-9b5b-46c6-806b-40067f3e6f2a&xptdk=be2c1eff-9b5b-46c6-806b-40067f3e6f2a
18,Am Bag กระเป๋าเดินทาง พับเก็บได้สไตล์เกาหลี พกพาง่าย มี4สีให้เลือก,['36'],199.0,35300.0,,จังหวัดกรุงเทพมหานคร,/Am-Bag-กระเป๋าเดินทาง-พับเก็บได้สไตล์เกาหลี-พกพาง่าย-มี4สีให้เลือก-i.174321098.2753047883?sp_atk=69a09f90-3577-43a2-824b-d7703677c1d3&xptdk=69a09f90-3577-43a2-824b-d7703677c1d3
19,กระเป๋าใส่รองเท้า BEZ กระเป๋ารองเท้า ถุงใส่รองเท้า กระเป๋าเดินทาง กระเป๋าใส่รองเท้าฟุตบอล กระเป๋าเก็บรองเท้า แบบพกพา,"['79 ', ' 149']","['79 ', ' 149']",2200.0,,จังหวัดนนทบุรี,/กระเป๋าใส่รองเท้า-BEZ-กระเป๋ารองเท้า-ถุงใส่รองเท้า-กระเป๋าเดินทาง-กระเป๋าใส่รองเท้าฟุตบอล-กระเป๋าเก็บรองเท้า-แบบพกพา-i.41031982.21951050870?sp_atk=2e3516d3-af96-4c1b-b85e-5f80ff61fcbb&xptdk=2e3516d3-af96-4c1b-b85e-5f80ff61fcbb
20,【Freebird】สไตล์อังกฤษ ธุรกิจ น้ำหนักเบาเป็นพิเศษ ความจุขนาดใหญ่ ป้องกันรอยขีดข่วน กันขโมย20/24/28นิ้ว กระเป๋าเดินทาง,"['695 ', ' 1,095']","['695 ', ' 1,095']",2300.0,,จังหวัดกรุงเทพมหานคร,/【Freebird】สไตล์อังกฤษ-ธุรกิจ-น้ำหนักเบาเป็นพิเศษ-ความจุขนาดใหญ่-ป้องกันรอยขีดข่วน-กันขโมย20-24-28นิ้ว-กระเป๋าเดินทาง-i.444236700.18762499131?sp_atk=81451008-81e9-41e4-9d5f-b2d74deaa74f&xptdk=81451008-81e9-41e4-9d5f-b2d74deaa74f
21,ขนาดใหญ่ความจุพับกระเป๋าเดินทางกันน้ำ สิริ กระเป๋าถือ ดัฟเฟิล กระเป๋าผู้หญิงกระเป๋าเดินทางมัลติฟังก์ชั่ ดรอปชิป,"['125 ', ' 159']","['125 ', ' 159']",1900.0,,จังหวัดกรุงเทพมหานคร,/ขนาดใหญ่ความจุพับกระเป๋าเดินทางกันน้ำ-สิริ-กระเป๋าถือ-ดัฟเฟิล-กระเป๋าผู้หญิงกระเป๋าเดินทางมัลติฟังก์ชั่-ดรอปชิป-i.17712086.22917418889?sp_atk=17cd53a4-cdd8-4a91-bc89-7b5d6fba98de&xptdk=17cd53a4-cdd8-4a91-bc89-7b5d6fba98de
22,พร้อมส่ง ผ้าคลุมกระเป๋าเดินทางผ้ายืด (Black Edition) กันฝุ่น กันรอย สำหรับขนาด 20/24/26/28/30 นิ้ว Set 2,"['189 ', ' 299']","['189 ', ' 299']",1300.0,ซื้อ 2 ชิ้น ลด 2%,จังหวัดกรุงเทพมหานคร,/พร้อมส่ง-ผ้าคลุมกระเป๋าเดินทางผ้ายืด-(Black-Edition)-กันฝุ่น-กันรอย-สำหรับขนาด-20-24-26-28-30-นิ้ว-Set-2-i.62189639.19860468341?sp_atk=d47f53cd-6010-4f1f-ae25-d1a2968dc3c4&xptdk=d47f53cd-6010-4f1f-ae25-d1a2968dc3c4
23,"กระเป๋าเครื่องสําอาง PVC กันน้ำ กระเป๋าแต่งหน้า กระเป๋ากันน้ำ กระเป๋าเก็บเสื้อผ้า กระเป๋าใส่ของ ""พร้อมส่ง🇹🇭""","['29 ', ' 47']","['29 ', ' 47']",1900.0,,จังหวัดนครราชสีมา,/กระเป๋าเครื่องสําอาง-PVC-กันน้ำ-กระเป๋าแต่งหน้า-กระเป๋ากันน้ำ-กระเป๋าเก็บเสื้อผ้า-กระเป๋าใส่ของ-พร้อมส่ง🇹🇭--i.264652742.21310512130?sp_atk=65ae19eb-1d56-4823-a344-17cc84dd74e2&xptdk=65ae19eb-1d56-4823-a344-17cc84dd74e2
24,Vodca-กระเป๋าเดินทาง กระเป๋าออกกำลังกาย รุ่น LX-2053C,['199'],['199'],3500.0,,จังหวัดกรุงเทพมหานคร,/Vodca-กระเป๋าเดินทาง-กระเป๋าออกกำลังกาย-รุ่น-LX-2053C-i.93759943.13629936791?sp_atk=9d65df74-d14d-491f-948b-cc2d1c09dda7&xptdk=9d65df74-d14d-491f-948b-cc2d1c09dda7
25,สายรัดกระเป๋าเดินทาง - Luggage Strap,"['35 ', ' 49']","['35 ', ' 49']",11200.0,,จังหวัดกรุงเทพมหานคร,/สายรัดกระเป๋าเดินทาง-Luggage-Strap-i.24561084.885609026?sp_atk=59b70dee-dbe7-491e-9811-1511bd56b39e&xptdk=59b70dee-dbe7-491e-9811-1511bd56b39e
26,ขวดแบ่งน้ำหอม Wander ฟรีถุงกันรอย + ประกันสินค้า (Wander Pocket Perfume - Alcohol/Perfume Refillable),['360'],450.0,13200.0,ซื้อ 3 ชิ้น ลด 10%,จังหวัดกรุงเทพมหานคร,/ขวดแบ่งน้ำหอม-Wander-ฟรีถุงกันรอย-ประกันสินค้า-(Wander-Pocket-Perfume-Alcohol-Perfume-Refillable)-i.11585043.4509148780?sp_atk=d1d67ff6-3517-46d2-81ce-46befba506c2&xptdk=d1d67ff6-3517-46d2-81ce-46befba506c2
27,กระเป๋าเดินทาง กระเป๋าแฟชั่น ผ้าไนลอน PP Bag (โรงงานมาเอง) <12747>,['120'],['120'],632.0,,จังหวัดสมุทรสาคร,/กระเป๋าเดินทาง-กระเป๋าแฟชั่น-ผ้าไนลอน-PP-Bag-(โรงงานมาเอง)-12747--i.688909560.18064097018?sp_atk=8073ae29-2d21-4902-9ba7-2058fcc6271f&xptdk=8073ae29-2d21-4902-9ba7-2058fcc6271f
28,พร้อมส่ง💙สีฟ้า กระเป๋าเครื่องสําอาง  กระเป๋ากันน้ำ กระเป๋าแต่งหน้าแบบใส,"['35 ', ' 99']","['35 ', ' 99']",19500.0,,จังหวัดปทุมธานี,/พร้อมส่ง💙สีฟ้า-กระเป๋าเครื่องสําอาง-กระเป๋ากันน้ำ-กระเป๋าแต่งหน้าแบบใส-i.255138429.12858540772?sp_atk=a18a000c-aec9-4f78-879c-dbd5c330bb5c&xptdk=a18a000c-aec9-4f78-879c-dbd5c330bb5c
29,Tpartner กระเป๋าเดินทางแบบซิป Wave Series,"['388 ', ' 1,890']","['388 ', ' 1,890']",2800.0,,จังหวัดสมุทรปราการ,/Tpartner-กระเป๋าเดินทางแบบซิป-Wave-Series-i.76171761.16071955061?sp_atk=6e6b9edb-26b3-471d-aba7-e3ee8470dc4f&xptdk=6e6b9edb-26b3-471d-aba7-e3ee8470dc4f
30,ถูกมาก 📍เด็กหอต้องมี ถุงกระสอบ ราคาถูก ส่งผ้า ย้ายของ ใส่เยอะแค่ไหนก็สะพายไหว,"['49 ', ' 59']","['49 ', ' 59']",943.0,,จังหวัดกรุงเทพมหานคร,/ถูกมาก-📍เด็กหอต้องมี-ถุงกระสอบ-ราคาถูก-ส่งผ้า-ย้ายของ-ใส่เยอะแค่ไหนก็สะพายไหว-i.429310915.21332652539?sp_atk=d789cffe-1336-40a9-90d2-36c9267cdf0f&xptdk=d789cffe-1336-40a9-90d2-36c9267cdf0f
31,ผ้าคลุมกระเป๋าเดินทาง แบบผ้ายืด ป้องกันฝุ่น ลายการ์ตูน สไตล์เกาหลี แฟชั่น พร้อมแท็กติดกระเป๋าเดินทางฟรี,"['169 ', ' 265']","['169 ', ' 265']",1600.0,ซื้อ 2 ชิ้น ลด 2%,ต่างประเทศ,/ผ้าคลุมกระเป๋าเดินทาง-แบบผ้ายืด-ป้องกันฝุ่น-ลายการ์ตูน-สไตล์เกาหลี-แฟชั่น-พร้อมแท็กติดกระเป๋าเดินทางฟรี-i.144918561.4305821016?sp_atk=bf5e16ed-ec69-41bf-a3bd-5891e254c029&xptdk=bf5e16ed-ec69-41bf-a3bd-5891e254c029
32,ออแกไนเซอร์ 7 ชิ้น กระเป๋าเก็บของ ถุงเก็บของสําหรับเดินทาง ถุงเก็บซิปหนา,"['79 ', ' 199']","['79 ', ' 199']",4400.0,ซื้อ 2 ชิ้น ลด ฿6,จังหวัดกรุงเทพมหานคร,/ออแกไนเซอร์-7-ชิ้น-กระเป๋าเก็บของ-ถุงเก็บของสําหรับเดินทาง-ถุงเก็บซิปหนา-i.275314398.16488333721?sp_atk=f96e7186-fb46-460d-9e96-01a857941ab3&xptdk=f96e7186-fb46-460d-9e96-01a857941ab3
33,กระเป๋าเดินทาง กระเป๋าเดินทางล้อลาก ลายเป็ดเหลือง ขนาด20 นิ้ว,"['429 ', ' 499']","['429 ', ' 499']",1100.0,,จังหวัดกรุงเทพมหานคร,/กระเป๋าเดินทาง-กระเป๋าเดินทางล้อลาก-ลายเป็ดเหลือง-ขนาด20-นิ้ว-i.147785949.18234583077?sp_atk=23a3211c-5d9e-4fc0-98c0-103409014257&xptdk=23a3211c-5d9e-4fc0-98c0-103409014257
34,สายรัดกระเป๋าเดินทาง แบบ4ทิศ  มีรหัสล็อค สายรัดของ เอนกประสงค์ สายรัดกระเป๋า,"['35 ', ' 125']","['35 ', ' 125']",676.0,ซื้อ 2 ชิ้น ลด ฿5,จังหวัดกรุงเทพมหานคร,/สายรัดกระเป๋าเดินทาง-แบบ4ทิศ-มีรหัสล็อค-สายรัดของ-เอนกประสงค์-สายรัดกระเป๋า-i.818710298.21958436442?sp_atk=b6966680-cf20-4b9f-8c99-05ead810007d&xptdk=b6966680-cf20-4b9f-8c99-05ead810007d
35,ผ้าคลุมกระเป๋าเดินทาง PVC กันน้ํา กันฝุ่น กันการสึกหรอ คุณภาพสูง ขนาด 20 22 24 26 28 30 นิ้ว,"['64 ', ' 107']","['64 ', ' 107']",386.0,,ต่างประเทศ,/ผ้าคลุมกระเป๋าเดินทาง-PVC-กันน้ํา-กันฝุ่น-กันการสึกหรอ-คุณภาพสูง-ขนาด-20-22-24-26-28-30-นิ้ว-i.76226848.20861498066?sp_atk=45031f2b-ecee-4ed3-80fb-2949824e01cf&xptdk=45031f2b-ecee-4ed3-80fb-2949824e01cf
36,"SH กระเป๋าเดินทาง พร้อมสายสะพายไหล่ รุ่น MBi-10 มีขนาด 30 ลิตร ,​50 ลิตร และ ขนาด​ 60 ลิตร จากร้าน Smart Choices","['179 ', ' 299']","['179 ', ' 299']",2600.0,,จังหวัดกรุงเทพมหานคร,/SH-กระเป๋าเดินทาง-พร้อมสายสะพายไหล่-รุ่น-MBi-10-มีขนาด-30-ลิตร-​50-ลิตร-และ-ขนาด​-60-ลิตร-จากร้าน-Smart-Choices-i.1903802.4714762485?sp_atk=be6cce39-4668-44e4-a0bc-6ed568940255&xptdk=be6cce39-4668-44e4-a0bc-6ed568940255
37,"✅(ใส่โค้ดลดเพิ่ม 7FASH615) ProLuggage กระเป๋าเดินทาง กระเป๋าล้อลาก CANDO 17"" 18"" 20"" 22"" 24""26""28"" รุ่น1177","['395 ', ' 899']","['395 ', ' 899']",1200.0,,จังหวัดกรุงเทพมหานคร,/✅(ใส่โค้ดลดเพิ่ม-7FASH615)-ProLuggage-กระเป๋าเดินทาง-กระเป๋าล้อลาก-CANDO-17-18-20-22-24-26-28-รุ่น1177-i.38446504.9810008118?sp_atk=48ddecbe-59eb-4e8a-a9f1-ec95fa7356d9&xptdk=48ddecbe-59eb-4e8a-a9f1-ec95fa7356d9
38,Shibel Large Capacity Dispenser Pump Bottle for Household Manual Body Wash Bubble Maker Simple Operation,"['129 ', ' 159']","['129 ', ' 159']",392.0,,ต่างประเทศ,/Shibel-Large-Capacity-Dispenser-Pump-Bottle-for-Household-Manual-Body-Wash-Bubble-Maker-Simple-Operation-i.783715913.12597902706?sp_atk=1e981811-577f-4e7e-9793-9d72d1dc6042&xptdk=1e981811-577f-4e7e-9793-9d72d1dc6042
39,Luggage cover ผ้าคลุมกระเป๋าเดินทาง PVC ใส ไร้ขอบ อย่างหนา,"['199 ', ' 279']","['199 ', ' 279']",2200.0,ซื้อ 2 ชิ้น ลด ฿20,จังหวัดชลบุรี,/Luggage-cover-ผ้าคลุมกระเป๋าเดินทาง-PVC-ใส-ไร้ขอบ-อย่างหนา-i.22583800.5701469760?sp_atk=1c16f067-a87e-4cd1-b3a7-1a95eaa986ba&xptdk=1c16f067-a87e-4cd1-b3a7-1a95eaa986ba
40,กระเป๋าเดินทาง กระเป๋าล้อลาก กระเป๋า 20 นิ้ว 8 ล้อคู่หมุนได้ 360 องศา,"['439 ', ' 599']","['439 ', ' 599']",1100.0,,จังหวัดกรุงเทพมหานคร,/กระเป๋าเดินทาง-กระเป๋าล้อลาก-กระเป๋า-20-นิ้ว-8-ล้อคู่หมุนได้-360-องศา-i.5758626.13314853055?sp_atk=4a7df9aa-8c9a-4131-a7e2-17d95155df73&xptdk=4a7df9aa-8c9a-4131-a7e2-17d95155df73
41,กระเป๋าเดินทางล้อลาก 20 นิ้วราคาถูก กระเป๋าเดินทางล้อลาก 24 นิ้วแม่ลูก กระเป๋าเดินทางแบบถือใบเล็ก,"['280 ', ' 746']","['280 ', ' 746']",1800.0,,จังหวัดปทุมธานี,/กระเป๋าเดินทางล้อลาก-20-นิ้วราคาถูก-กระเป๋าเดินทางล้อลาก-24-นิ้วแม่ลูก-กระเป๋าเดินทางแบบถือใบเล็ก-i.543633228.21619787091?sp_atk=4f28abbf-60f0-49bb-a763-aa960c6ea36c&xptdk=4f28abbf-60f0-49bb-a763-aa960c6ea36c
42,โค้ด QSX6P9FM ขวดปั๊ม 500ml. ขวด PET  คุณภาพดี,"['5 ', ' 14']","['5 ', ' 14']",186900.0,,จังหวัดกรุงเทพมหานคร,/โค้ด-QSX6P9FM-ขวดปั๊ม-500ml.-ขวด-PET-คุณภาพดี-i.35528085.6428527514?sp_atk=fa5187ee-1eb3-4017-be47-2f977f0c60a8&xptdk=fa5187ee-1eb3-4017-be47-2f977f0c60a8
43,💖COD👉ผ้าคลุมกระเป๋าเดินทาง กระเป๋าเดินทาง ผ้ายึดได้เยอะ กันฝุ่น กันรอย สวมใส่ได้ ข้น 20/22/24/26/28 นิ้ว,"['139 ', ' 299']","['139 ', ' 299']",3100.0,,จังหวัดกรุงเทพมหานคร,/💖COD👉ผ้าคลุมกระเป๋าเดินทาง-กระเป๋าเดินทาง-ผ้ายึดได้เยอะ-กันฝุ่น-กันรอย-สวมใส่ได้-ข้น-20-22-24-26-28-นิ้ว-i.485665810.10582153741?sp_atk=8d94a3f6-3924-41fe-8ef3-7eb1463a942b&xptdk=8d94a3f6-3924-41fe-8ef3-7eb1463a942b
44,Rollica สายรัดกระเป๋าเดินทาง ด้วยระบบรหัสป้องกัน3หลัก ปกป้องทรัพย์สินจากการเหตุไม่คาดฝัน ด้วยมาตรฐานสากล,['275'],450.0,1400.0,,จังหวัดเพชรบุรี,/Rollica-สายรัดกระเป๋าเดินทาง-ด้วยระบบรหัสป้องกัน3หลัก-ปกป้องทรัพย์สินจากการเหตุไม่คาดฝัน-ด้วยมาตรฐานสากล-i.9983610.2303046310?sp_atk=5daa2421-be2c-47d8-b24e-c2f9be020c19&xptdk=5daa2421-be2c-47d8-b24e-c2f9be020c19
45,KAMANNI กระเป๋าเดินทาง กระเป๋าเดินทางแบบโรลลิ่งส 20 PC + ABS ล้อหมุนได้ 360 องศาอย่างมีสไตล์ รถเข็นกระเป๋า,"['320 ', ' 1,399']","['320 ', ' 1,399']",11700.0,,จังหวัดสมุทรปราการ,/KAMANNI-กระเป๋าเดินทาง-กระเป๋าเดินทางแบบโรลลิ่งส-20-PC-ABS-ล้อหมุนได้-360-องศาอย่างมีสไตล์-รถเข็นกระเป๋า-i.765245290.18309822038?sp_atk=2d888c60-01ab-4ee8-a8ae-948df69b3536&xptdk=2d888c60-01ab-4ee8-a8ae-948df69b3536
46,ปากหูรูด ถุงเก็บ หนา กันน้ำ วางเสื้อผ้า รองเท้า สะดวกมาก SD4835,['1'],20.0,6300.0,,ต่างประเทศ,/ปากหูรูด-ถุงเก็บ-หนา-กันน้ำ-วางเสื้อผ้า-รองเท้า-สะดวกมาก-SD4835-i.445515175.14890824099?sp_atk=d5e2695d-6969-48b9-a8b2-0ce22dea2b32&xptdk=d5e2695d-6969-48b9-a8b2-0ce22dea2b32
47,ผ้าคลุมกระเป๋าเดินทางผ้ายืด - Mix Collection,"['183 ', ' 258']","['183 ', ' 258']",10400.0,,จังหวัดกรุงเทพมหานคร,/ผ้าคลุมกระเป๋าเดินทางผ้ายืด-Mix-Collection-i.24561084.1392695812?sp_atk=5b4b770d-50b0-4664-a1f5-c4df466f430d&xptdk=5b4b770d-50b0-4664-a1f5-c4df466f430d
